NCT ID,Disease,Drug Name
NCT07094204,Pancreatic ductal adenocarcinoma,ASP5834
NCT07094204,Pancreatic ductal adenocarcinoma,panitumumab
NCT07047001,Nonpapillary renal cell carcinoma,Vorolanib Tablets
NCT07047001,Nonpapillary renal cell carcinoma,Vorolanib + Toripalimab
NCT06854601,Attention deficit-hyperactivity disorder,Mexidol
NCT06894901,Dengue disease,Biological (Male Wolbachia-infected Aedes aegypti)
NCT06836401,Periodontal disorder,Topical Gel
NCT07104604,Rectal carcinoma,Liposomal Irinotecan
NCT06770504,Autoimmune hemolytic anemia,YTS109
NCT06611501,Endometriosis,metformin hydrochloride
NCT06785272,Asthma,magnesium sulfate
NCT07107672,Gastroesophageal reflux disease,[14C]X842
NCT06574204,Dermatitis,erythromycin
NCT06574204,Dermatitis,azithromycin
NCT07028801,Rabies,Freeze-dried human rabies vaccine (human diploid cells)
NCT07028801,Rabies,Freeze-dried human rabies vaccine (human diploid cells)
NCT07028801,Rabies,Freeze-dried human rabies vaccine (human diploid cells)
NCT07028801,Rabies,Freeze-dried human rabies vaccine (human diploid cells)
NCT07028801,Rabies,Freeze-dried human rabies vaccine (human diploid cells)
NCT06956001,EGFR,Firmonertinib Mesilate Tablets
NCT06956001,EGFR,Pemetrexed Disodium for Injection
NCT06956001,EGFR,Cisplatin for injection
NCT06956001,EGFR,Carboplatin Injection
NCT06956001,Non-small cell lung carcinoma,Firmonertinib Mesilate Tablets
NCT06956001,Non-small cell lung carcinoma,Pemetrexed Disodium for Injection
NCT06956001,Non-small cell lung carcinoma,Cisplatin for injection
NCT06956001,Non-small cell lung carcinoma,Carboplatin Injection
NCT06619301,Gestational diabetes,insulin glargine
NCT06619301,Gestational diabetes,insulin NPH
NCT06619301,Type 2 diabetes mellitus,insulin glargine
NCT06619301,Type 2 diabetes mellitus,insulin NPH
NCT07048704,Cystic fibrosis,Intravenous Bacteriophage Cocktail plus Standard IV Antibiotics
NCT06835101,Obesity disorder,Midazolam (sedative)
NCT06991101,Adult glioblastoma,ruxolitinib
NCT06991101,Adult glioblastoma,temozolomide
NCT06991101,Glioma susceptibility 1,ruxolitinib
NCT06991101,Glioma susceptibility 1,temozolomide
NCT07080801,Amyotrophic lateral sclerosis,RAG-21
NCT06609304,Lymphoma,axicabtagene ciloleucel
NCT07104201,Primary biliary cholangitis,fenofibrate
NCT07082972,Myofascial pain syndrome,Botulinum toxin injection
NCT06893172,Postherpetic neuralgia,gabapentin
NCT07037472,Dermatomyositis,Drug treatment
NCT06955104,Inherited lipid metabolism disorder,JW0108 + C2407
NCT06719804,Epilepsy,propranolol
NCT06596772,Rheumatoid arthritis,MB04 (proposed biosimilar to etanercept)
NCT06596772,Rheumatoid arthritis,Enbrel (etanercept)
NCT06899204,Atopic eczema,abrocitinib
