Drug Name,ATC 1st Level
topotecan Injection,L - Antineoplastic and immunomodulating agents
Carboplatin/Cisplatin -Etoposide - Atezolizumab,L - Antineoplastic and immunomodulating agents
topotecan,L - Antineoplastic and immunomodulating agents
Carboplatin plus Paclitaxel,L - Antineoplastic and immunomodulating agents
topiramate 50 MG,N - Nervous system
Carboplatin Injection,L - Antineoplastic and immunomodulating agents
topiramate,N - Nervous system
topiramate,A - Alimentary tract and metabolism
Carbon-14 labeled HSK39297,
topical finasteride,D - Dermatologicals
topical finasteride,G - Genito urinary system and sex hormones
Carbocysteine,R - Respiratory system
topical cyclosporine eyedrops and hyaluronic eyedrops,
Carbarmazepine,N - Nervous system
topical amiodarone,C - Cardiovascular system
Capvaxive,
tomato allergenic extract,V - Various
Capsicum oleoresin,
tolvaptan 15 MG,C - Cardiovascular system
Capsicum extract,
tolvaptan,C - Cardiovascular system
Capsaicin only (7.6 ng),
toltrazuril,
Capsaicin + Flupirtine,N - Nervous system
tolterodine tartrate,G - Genito urinary system and sex hormones
Capex,S - Sensory organs
Capex,D - Dermatologicals
Capex,C - Cardiovascular system
tolterodine,G - Genito urinary system and sex hormones
Capecitabine Tablets,L - Antineoplastic and immunomodulating agents
tolododekin alfa,A - Alimentary tract and metabolism
CapeOX,S - Sensory organs
CapeOX,D - Dermatologicals
CapeOX,C - Cardiovascular system
tolmetin,M - Musculo-skeletal system
Cannabis sativa seed oil,
tolerogenic dendritic cells (tolDC),
Cannabis sativa seed extract,
tolcapone,N - Nervous system
Cannabis Oil (5% THC/5% CBD),
tolazoline,M - Musculo-skeletal system
tolazoline,C - Cardiovascular system
Cannabis (smoked flower),
tofersen,N - Nervous system
Cannabidiol (CBD) Gel,N - Nervous system
tofacitinib citrate,L - Antineoplastic and immunomodulating agents
Cannabidiol,N - Nervous system
tofacitinib 5 MG,L - Antineoplastic and immunomodulating agents
Candidate varicella vaccine,J - Antiinfectives for systemic use
tofacitinib 11 MG,L - Antineoplastic and immunomodulating agents
Candida albicans allergenic extract,V - Various
tofacitinib 10 MG,L - Antineoplastic and immunomodulating agents
